ID,Name,Log,Sprite_ID
1,토로,오오... 하로!,1
,,제법인데? 실력이 눈에 띄게 늘었잖아!,
,,그 기세야' 하로! 지금처럼만 해!,
2,하로,하아... 하아...,1
,,형이 도와줬으니까... 덕분에 잘 해냈어.,1
3,가르트,토로! 왜 이렇게 안 오나 했더니...,1
,,베일트 형이 너는 한 바퀴 더 돌고 오라고 하지 않았어? ,
4,토로,앗.. 가르트 형. 미안' 하로 좀 도와주느라...,1
,,얼른 한 바퀴 돌고 올께...,
5,하로,(슬금슬금...),1
6,가르트,하로! 어딜 가려고 하는 거야!,1
,,아직 너한테 할 말 남았어.,
7,하로,할 말이라니..?,1
8,가르트,조금 전' 비행 봤어. 확실히 이전보다 좋아진 게 보여.,1
9,하로,(헥.. 그 냉정한 가르트 형이 인정해줬어...),1
10,가르트,하지만 날 따라오려면 아직 멀었어. 좀 더 분발해.,1
,,아버지를 따라오고 싶다면... 더욱이...,
,,따라와' 자세 교정부터 해야 할 잔소리들이 많아!,
11,하로,(꿀꺽...!),1
